signal,position,position_change,actual_return,gross_return,transaction_cost,net_return,cumulative_return
0,0,0,-0.0030241135368878,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,0.0014356830643762,0.0,0.0,0.0,-0.08956226604557693
0,0,0,-0.0016889261056388,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,-0.0031959964313485,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,-0.0089819772056305,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,0.0062017764303263,0.0,0.0,0.0,-0.08956226604557693
0,0,0,0.0011997312220283,0.0,0.0,0.0,-0.08956226604557693
0,0,0,0.007346704023945,0.0,0.0,0.0,-0.08956226604557693
0,0,0,-0.0049775143288671,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,-0.0023957614265355,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,-0.011817842128776,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,-0.0014654536631833,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,-0.0036097212818895,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,-0.0140654085642606,-0.0,0.0,-0.0,-0.08956226604557693
0,0,0,0.0075393165167583,0.0,0.0,0.0,-0.08956226604557693
-1,-1,-1,-0.0083857173688159,0.0083857173688159,0.005,0.0033857173688159005,-0.08647978119650213
-1,-1,0,-0.010762392522651,0.010762392522651,0.0,0.010762392522651,-0.07664811802436089
0,0,1,0.0070367125597806,0.0,0.005,-0.005,-0.08126487743423905
0,0,0,0.0066770683644518,0.0,0.0,0.0,-0.08126487743423905
0,0,0,-0.0018996318269187,-0.0,0.0,-0.0,-0.08126487743423905
0,0,0,-0.0037621319029138,-0.0,0.0,-0.0,-0.08126487743423905
-1,-1,-1,-0.0059791815715754,0.0059791815715754,0.005,0.0009791815715753998,-0.08036526893306362
0,0,1,-0.0082662913214639,-0.0,0.005,-0.005,-0.08496344258839827
-1,-1,-1,-0.0106052506587076,0.0106052506587076,0.005,0.005605250658707601,-0.07983443332222528
0,0,1,-0.0005861722170625,-0.0,0.005,-0.005,-0.08443526115561417
0,0,0,0.0002207671007315,0.0,0.0,0.0,-0.08443526115561417
0,0,0,-0.0034885520052918,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0117638307383472,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0021279004565275,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0045858454160199,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,0.002894951305919,0.0,0.0,0.0,-0.08443526115561417
0,0,0,0.0117106512050546,0.0,0.0,0.0,-0.08443526115561417
0,0,0,0.0068720509409123,0.0,0.0,0.0,-0.08443526115561417
0,0,0,0.0097554106461838,0.0,0.0,0.0,-0.08443526115561417
0,0,0,-0.0010491633063259,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0075552859264589,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0026404058049432,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0003433818742569,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,0.0026366944601612,0.0,0.0,0.0,-0.08443526115561417
0,0,0,0.0020109476822584,0.0,0.0,0.0,-0.08443526115561417
0,0,0,0.0024806339167141,0.0,0.0,0.0,-0.08443526115561417
0,0,0,-0.0094327302476933,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.003056439592693,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0060369178175114,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0116211939686946,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,0.0001917237092489,0.0,0.0,0.0,-0.08443526115561417
0,0,0,-0.0032310643972785,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,0.0037178550596838,0.0,0.0,0.0,-0.08443526115561417
0,0,0,0.0048990941972418,0.0,0.0,0.0,-0.08443526115561417
0,0,0,-0.0060099944512356,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0034069860560364,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0023581834994893,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,0.0026705144237535,0.0,0.0,0.0,-0.08443526115561417
0,0,0,0.0017101349012537,0.0,0.0,0.0,-0.08443526115561417
0,0,0,0.0072047107659637,0.0,0.0,0.0,-0.08443526115561417
0,0,0,0.0016447368676441,0.0,0.0,0.0,-0.08443526115561417
0,0,0,0.0048156287443131,0.0,0.0,0.0,-0.08443526115561417
0,0,0,-0.0006778623261532,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0063851359480927,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0110372141715688,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.003745677438078,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0100855835428237,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,0.0043730432679927,0.0,0.0,0.0,-0.08443526115561417
0,0,0,-0.0079305399060038,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0140315729518287,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,0.0030695237261739,0.0,0.0,0.0,-0.08443526115561417
0,0,0,0.0066265395609601,0.0,0.0,0.0,-0.08443526115561417
0,0,0,-0.0068143277798532,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0118549572985179,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0082535115999482,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0096209165621887,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0045683361566208,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0101365890548709,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,0.0094495594445126,0.0,0.0,0.0,-0.08443526115561417
0,0,0,-0.0021229427074814,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0084750066803298,-0.0,0.0,-0.0,-0.08443526115561417
0,0,0,-0.0011841659220921,-0.0,0.0,-0.0,-0.08443526115561417
1,1,1,0.0064682458220001,0.0064682458220001,0.005,0.0014682458220001,-0.0830909870530353
1,1,0,0.0011231567465417,0.0011231567465417,0.0,0.0011231567465417,-0.08206115450917895
0,0,-1,0.0110732499255531,0.0,0.005,-0.005,-0.08665084873663309
0,0,0,0.0131549375052588,0.0,0.0,0.0,-0.08665084873663309
0,0,0,-0.0053862293195598,-0.0,0.0,-0.0,-0.08665084873663309
0,0,0,-0.0067925713527768,-0.0,0.0,-0.0,-0.08665084873663309
0,0,0,-3.026640399349931e-06,-0.0,0.0,-0.0,-0.08665084873663309
0,0,0,-0.0065627372313762,-0.0,0.0,-0.0,-0.08665084873663309
0,0,0,-0.007018376203972,-0.0,0.0,-0.0,-0.08665084873663309
0,0,0,-0.0101200141375396,-0.0,0.0,-0.0,-0.08665084873663309
1,1,1,0.0033260874926687,0.0033260874926687,0.005,-0.0016739125073313003,-0.08817971530449331
0,0,-1,0.0006370213715321,0.0,0.005,-0.005,-0.0927388167279708
0,0,0,-0.0054294733813858,-0.0,0.0,-0.0,-0.0927388167279708
0,0,0,0.0061002498743561,0.0,0.0,0.0,-0.0927388167279708
0,0,0,0.0022959658602911,0.0,0.0,0.0,-0.0927388167279708
0,0,0,-0.0042222235545516,-0.0,0.0,-0.0,-0.0927388167279708
0,0,0,-0.00415261620967,-0.0,0.0,-0.0,-0.0927388167279708
0,0,0,-0.0032718873932567,-0.0,0.0,-0.0,-0.0927388167279708
0,0,0,-0.0001593292668119,-0.0,0.0,-0.0,-0.0927388167279708
1,1,1,0.008071355541593,0.008071355541593,0.005,0.003071355541593,-0.08995229506505598
0,0,-1,-0.0007985368350763,-0.0,0.005,-0.005,-0.09450253358973071
0,0,0,0.0049869138765115,0.0,0.0,0.0,-0.09450253358973071
1,1,1,0.0002695861806867,0.0002695861806867,0.005,-0.0047304138193133005,-0.09878591131819103
